states,tags,notes,date,time
Vermont,"travel and tourism,tourism site",Travel and Tourism Site for Vermont ,6/6/13,19:19
Virginia,virginia department,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. ",5/27/14,14:14
Virginia,virginia department,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. ",1/10/14,19:17
New York,"department of transportation,york state,new york state","511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  ",1/24/14,14:34
Alabama,cooperative extension,Alabama Cooperative Extension System ,6/12/13,16:37
New Mexico,cooperative extension,New Mexico Cooperative Extension Publications ,7/25/13,17:38
Alabama,"department of public,public health",Alabama Department of Public Health ,6/12/13,16:40
Alabama,"travel and tourism,tourism site",Travel and Tourism Site for Alabama ,6/6/13,19:22
Alabama,national guard,Alabama National Guard Counterdrug Program ,1/23/14,13:41
Alabama,state board,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama ,6/12/13,16:46
Alabama,department of education,Alabama State Department of Education ,6/12/13,17:15
,"travel and tourism,tourism site",Travel and Tourism Site for American Samoa ,6/6/13,19:22
Arkansas,national guard,Arkansas National Guard ,1/23/14,13:42
Arizona,"travel and tourism,tourism site",Travel and Tourism Site for Arizona ,6/6/13,19:16
Arkansas,"travel and tourism,tourism site",Travel and Tourism Site for Arkansas ,6/6/13,19:23
Arkansas,department of education,Arkansas Department of Education ,12/10/14,6:56
Arkansas,economic development,Arkansas Economic Development Coorporation (AEDC) ,1/24/14,14:36
Arkansas,human services,"ARKids First health insurance, Arkansas Department of Human Services ",1/10/14,19:17
Arkansas,state board,Arkansas State Board of Optometry ,11/18/13,15:44
Arkansas,state board,Arkansas State Board of Physical Therapy ,11/18/13,15:45
Arkansas,state board,Arkansas State Board of Collection Agencies ,11/18/13,15:45
New York,"york state,new york state",New York State Public Service Commission’s Consumer Web Site ,1/10/14,19:17
Arizona,state board,Arizona State Board of Dental Examiners ,12/11/13,13:50
North Carolina,"north carolina department,carolina department,department of cultural","USS North Carolina Battleship, North Carolina Department of Cultural Resources ",3/20/14,17:19
North Carolina,north carolina board,North Carolina Board of Massage & Bodywork Therapy ,9/11/15,18:20
California,"department of public,public health","California Environmental Health Tracking Program, California Department of Public Health ",10/24/14,12:09
North Carolina,,"College Foundation of North Carolina, a service of the State of North Carolina ",7/24/13,16:09
Maryland,economic development,Maryland Department of Business and Economic Development ,1/10/14,19:17
Alabama,department of transportation,"Coliseum Boulevard Plume (CBP), an area in Montgomery, Alabama, where the groundwater 10-50 feet below land surface contains trichloroethylene (TCE).  Investigation, management, and cleanup of the groundwater is being conducted by the https://www.dot.state.al.us/ Alabama Department of Transportation (ALDOT). ",9/24/14,16:14
Colorado,"travel and tourism,tourism site",Travel and Tourism Site for Colorado ,6/6/13,19:23
North Carolina,,North Carolina DOT Complete Streets ,1/22/14,18:53
North Carolina,"department of public,north carolina department,carolina department","Correction Enterprises, North Carolina Department of Public Safety ",7/24/13,14:00
New York,,"Center for Technology at the University at Albany, State University of New York ",6/29/15,15:02
Connecticut,"travel and tourism,tourism site",Travel and Tourism Site for Connecticut ,6/6/13,19:28
Delaware,national guard,Delaware National Guard ,1/23/14,14:03
,"department of commerce,nc department","Division of Employment Security (DES), NC Department of Commerce (NCC) ",9/22/15,14:15
Ohio,"travel and tourism,tourism site",Travel and Tourism Site for Ohio ,6/6/13,19:30
South Carolina,"travel and tourism,tourism site",Travel and Tourism Site for South Carolina ,6/6/13,19:30
Virginia,virginia department,Virginia Department of Motor Vehicles ,6/6/14,20:27
,department of education,American Samoa Department of Education ,4/4/14,10:58
North Carolina,"department of transportation,north carolina department,carolina department","Driving95 Corridor Planning and Finance Study website, North Carolina Department of Transportation (NCDOT) ",9/22/15,16:56
Wisconsin,national guard,Wisconsin National Guard Drug Control Program ,1/23/14,14:03
Washington,washington state,Washington State University ExtensionEnergy Program ,11/20/14,7:13
Washington,"travel and tourism,tourism site,washington state",Travel and tourism site for Washington State ,6/6/13,19:36
Georgia,"travel and tourism,tourism site",Travel and Tourism Site for Georgia ,6/6/13,19:36
Minnesota,"travel and tourism,tourism site",Travel and tourism site for state of Minnesota hosted by Explore Minnesota Tourism ,4/26/15,2:33
Virginia,cooperative extension,Virginia Cooperative Extension  ,6/6/14,20:29
Washington,"state university extension,washington state",Washington State University Extension ,11/20/14,7:10
West Virginia,,West Virginia University Extension Service ,7/24/14,5:33
Iowa,state university extension,Iowa State University Extension ,8/25/15,20:26
New Mexico,"cooperative extension,cooperative extension service",New Mexico Cooperative Extension Service ,7/25/13,17:39
Oregon,state university extension,Oregon State University Extension Service ,6/20/14,16:52
,cooperative extension,Purdue (Indiana) Cooperative Extension ,7/19/13,13:34
Delaware,"cooperative extension,cooperative extension service",University of Delaware Cooperative Extension Service ,6/7/13,16:52
Utah,state university extension,Utah State University extension ,8/21/14,5:14
Florida,department of education,Florida Department of Education ,6/17/15,13:06
Florida,national guard,Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.      ,6/17/15,13:20
Florida,"department of health,public health","Florida Environmental Public Health Tracking, Florida Department of Health This web portal was supported by Cooperative Agreement Number 5U38EH000941 from the Centers for Disease Control and Prevention. Its contents are solely the responsibility of the authors (FL Tracking Team) and do not necessarily represent the official views of the Centers for Disease Control and Prevention. ",7/9/15,15:15
Florida,department of agriculture,Florida Department of Agriculture and Consumer Services ,1/10/14,19:03
Georgia,national guard,Georgia National Guard ,1/23/14,13:59
Georgia,department of education,State of Georgia Department of Education ,6/6/13,18:08
Mississippi,"state board,department of education","GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. ",7/23/14,17:21
,national guard,Lousiana National Guard ,1/22/14,19:28
New Mexico,,New Mexico Bureau of Geology & Mineral Resources ,7/16/14,5:13
Hawaii,"travel and tourism,tourism site","Hawaii Tourism Authority, Travel and Tourism Site for Hawaii ",2/10/15,14:00
North Carolina,"department of agriculture,north carolina department,carolina department","Got to Be NC Agriculture, Goodness Grows in NC, North Carolina Department of Agriculture & Consumer Services ",6/28/13,16:56
,"department of agriculture,nc department","Got To Be NC Festival, a production of the NC Department of Agriculture ",8/2/13,15:48
Hawaii,department of education,Hawaii State Department of Education ,6/6/13,18:08
New Mexico,historical society,Historical Society of New Mexico ,7/16/14,5:16
Idaho,national guard,Idaho Army National Guard ,1/23/14,14:03
New York,"travel and tourism,tourism site",Travel and Tourism Site for New York ,6/6/13,19:12
North Carolina,,"Inclusive Health, North Carolina Health Insurance Risk Pool, Inc. ",11/20/13,19:54
,"economic development authority,development authority,economic development",Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. ,6/7/13,17:59
Iowa,"economic development authority,development authority,economic development",Iowa Economic Development Authority ,11/21/13,15:05
